2024-03-14 23:35:52,479 INFO     Filesize: 107029978, Max filesize: 367001600
2024-03-14 23:35:52,480 INFO     Executing code\batch_ingestion\batchingestapps\tenant2\batchingestapp.py
2024-03-14 23:36:03,557 INFO     tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:51.472454,2024-03-14 23:36:03.557329,0:00:12.084875,True
2024-03-14 23:36:03,558 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv complete in 0:00:12.084875
2024-03-14 23:36:03,558 INFO     Ingestions still running for this tenant: 0
2024-03-14 23:36:03,558 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv successful
2024-03-14 23:36:03,558 INFO     Removing data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv.
2024-03-14 23:36:04,583 INFO     tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:52.480550,2024-03-14 23:36:04.583916,0:00:12.103366,True
2024-03-14 23:36:04,583 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv complete in 0:00:12.103366
2024-03-14 23:36:04,586 INFO     Ingestions still running for this tenant: 0
2024-03-14 23:36:04,587 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv successful
2024-03-14 23:36:04,587 INFO     Removing data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv.
2024-03-14 23:36:04,663 INFO     Event: created data/client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv
2024-03-14 23:36:04,664 INFO     New file uploaded: data/client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv
2024-03-14 23:36:04,665 INFO     Checking config for tenant1 at code\batch_ingestion\batchingestapps\tenant1\config.yaml
2024-03-14 23:36:06,670 INFO     Filesize: 107029978, Max filesize: 536870912000
2024-03-14 23:36:06,671 INFO     Executing code\batch_ingestion\batchingestapps\tenant1\batchingestapp.py
2024-03-14 23:36:06,672 INFO     Event: created data/client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv
2024-03-14 23:36:06,673 INFO     New file uploaded: data/client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv
2024-03-14 23:36:06,674 INFO     Checking config for tenant2 at code\batch_ingestion\batchingestapps\tenant2\config.yaml
2024-03-14 23:36:07,687 INFO     Filesize: 107029978, Max filesize: 367001600
2024-03-14 23:36:07,688 INFO     Executing code\batch_ingestion\batchingestapps\tenant2\batchingestapp.py
2024-03-14 23:36:18,714 INFO     tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:06.672946,2024-03-14 23:36:18.714796,0:00:12.041850,True
2024-03-14 23:36:18,716 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv complete in 0:00:12.041850
2024-03-14 23:36:18,716 INFO     Ingestions still running for this tenant: 0
2024-03-14 23:36:18,716 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv successful
2024-03-14 23:36:18,717 INFO     Removing data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv.
2024-03-14 23:36:19,789 INFO     tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:07.689700,2024-03-14 23:36:19.789837,0:00:12.100137,True
2024-03-14 23:36:19,790 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv complete in 0:00:12.100137
2024-03-14 23:36:19,790 INFO     Ingestions still running for this tenant: 0
2024-03-14 23:36:19,790 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv successful
2024-03-14 23:36:19,790 INFO     Removing data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv.
2024-03-14 23:36:19,825 INFO     Event: created data/client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv
2024-03-14 23:36:19,826 INFO     New file uploaded: data/client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv
2024-03-14 23:36:19,826 INFO     Checking config for tenant1 at code\batch_ingestion\batchingestapps\tenant1\config.yaml
2024-03-14 23:36:21,831 INFO     Filesize: 107029978, Max filesize: 536870912000
2024-03-14 23:36:21,832 INFO     Executing code\batch_ingestion\batchingestapps\tenant1\batchingestapp.py
2024-03-14 23:36:21,832 INFO     Event: created data/client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv
2024-03-14 23:36:21,833 INFO     New file uploaded: data/client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv
2024-03-14 23:36:21,834 INFO     Checking config for tenant1 at code\batch_ingestion\batchingestapps\tenant1\config.yaml
2024-03-14 23:36:22,838 INFO     Filesize: 107029978, Max filesize: 536870912000
2024-03-14 23:36:22,839 INFO     Executing code\batch_ingestion\batchingestapps\tenant1\batchingestapp.py
2024-03-14 23:36:22,840 INFO     Event: created data/client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv
2024-03-14 23:36:22,851 INFO     New file uploaded: data/client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv
2024-03-14 23:36:22,859 INFO     Checking config for tenant2 at code\batch_ingestion\batchingestapps\tenant2\config.yaml
2024-03-14 23:36:23,869 INFO     Filesize: 107029978, Max filesize: 367001600
2024-03-14 23:36:23,870 INFO     Executing code\batch_ingestion\batchingestapps\tenant2\batchingestapp.py
2024-03-14 23:36:23,875 INFO     Event: created data/client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv
2024-03-14 23:36:23,878 INFO     New file uploaded: data/client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv
2024-03-14 23:36:23,878 INFO     Checking config for tenant2 at code\batch_ingestion\batchingestapps\tenant2\config.yaml
2024-03-14 23:36:24,894 INFO     Filesize: 107029978, Max filesize: 367001600
2024-03-14 23:36:24,894 INFO     Executing code\batch_ingestion\batchingestapps\tenant2\batchingestapp.py
2024-03-14 23:36:38,939 INFO     tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:21.832003,2024-03-14 23:36:38.939173,0:00:17.107170,True
2024-03-14 23:36:38,939 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv complete in 0:00:17.107170
2024-03-14 23:36:38,940 INFO     Ingestions still running for this tenant: 1
2024-03-14 23:36:38,940 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv successful
2024-03-14 23:36:38,940 INFO     Removing data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv.
2024-03-14 23:36:40,756 INFO     tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:36:22.840243,2024-03-14 23:36:40.756338,0:00:17.916095,True
2024-03-14 23:36:40,757 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv complete in 0:00:17.916095
2024-03-14 23:36:40,757 INFO     Ingestions still running for this tenant: 0
2024-03-14 23:36:40,757 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv successful
2024-03-14 23:36:40,757 INFO     Removing data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv.
