tenant,file,file_size,ingestion_start_time,ingestion_end_time,ingestion_time,success,concurrent_ingestions
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-3.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1326.9326343536377 MB,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-4.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1224.8608932495117 MB,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-5.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1122.7891521453857 MB,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-6.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1020.7174110412598 MB,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-7.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 918.6456699371338 MB,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-8.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 816.5739288330078 MB,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:40:10.272425,2024-03-14 23:40:35.903383,0:00:25.630958,True,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-9.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 714.5021877288818 MB,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:40:11.277396,2024-03-14 23:40:36.730823,0:00:25.453427,True,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-10.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 612.4304466247559 MB,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-13.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-14.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-2.csv,107029978,2024-03-14 23:40:12.281041,2024-03-14 23:40:41.883954,0:00:29.602913,True,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-15.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-3.csv,107029978,2024-03-14 23:40:13.286638,2024-03-14 23:40:49.848262,0:00:36.561624,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-5.csv,107029978,2024-03-14 23:40:15.302544,2024-03-14 23:40:51.310960,0:00:36.008416,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-4.csv,107029978,2024-03-14 23:40:14.293905,2024-03-14 23:40:55.013148,0:00:40.719243,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-8.csv,107029978,2024-03-14 23:40:18.331733,2024-03-14 23:40:56.055869,0:00:37.724136,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-6.csv,107029978,2024-03-14 23:40:16.310190,2024-03-14 23:40:57.643354,0:00:41.333164,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-9.csv,107029978,2024-03-14 23:40:19.346738,2024-03-14 23:40:57.728268,0:00:38.381530,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-10.csv,107029978,2024-03-14 23:40:20.361756,2024-03-14 23:40:59.193554,0:00:38.831798,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-7.csv,107029978,2024-03-14 23:40:17.320344,2024-03-14 23:40:59.398736,0:00:42.078392,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-11.csv,107029978,2024-03-14 23:40:21.375391,2024-03-14 23:41:02.477537,0:00:41.102146,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-12.csv,107029978,2024-03-14 23:40:22.448067,2024-03-14 23:41:11.240508,0:00:48.792441,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-13.csv,107029978,2024-03-14 23:40:23.467188,2024-03-14 23:41:11.307050,0:00:47.839862,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-14.csv,107029978,2024-03-14 23:40:24.581534,2024-03-14 23:41:14.024142,0:00:49.442608,True,16.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-15.csv,107029978,2024-03-14 23:40:25.647445,2024-03-14 23:41:17.837767,0:00:52.190322,True,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-11.csv,107029978,2024-03-14 23:40:38.154554,2024-03-14 23:41:18.823304,0:00:40.668750,True,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-12.csv,107029978,2024-03-14 23:40:39.181778,2024-03-14 23:41:20.118476,0:00:40.936698,True,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 2041.4348220825195 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1939.3630809783936 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-2.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1837.2913398742676 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-3.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1735.2195987701416 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-4.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1633.1478576660156 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-5.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1531.0761165618896 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-6.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1429.0043754577637 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-7.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1326.9326343536377 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-8.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1224.8608932495117 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-9.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1122.7891521453857 MB,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:41:24.894620,2024-03-14 23:41:55.924804,0:00:31.030184,True,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-10.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1020.7174110412598 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-11.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 918.6456699371338 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-12.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 816.5739288330078 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-13.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 714.5021877288818 MB,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-14.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 612.4304466247559 MB,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:41:25.900012,2024-03-14 23:42:02.852551,0:00:36.952539,True,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-17.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-3.csv,107029978,2024-03-14 23:41:27.919320,2024-03-14 23:42:04.521062,0:00:36.601742,True,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-18.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,20.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-19.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-2.csv,107029978,2024-03-14 23:41:26.908476,2024-03-14 23:42:06.157324,0:00:39.248848,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-4.csv,107029978,2024-03-14 23:41:28.930563,2024-03-14 23:42:09.893693,0:00:40.963130,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-6.csv,107029978,2024-03-14 23:41:30.952423,2024-03-14 23:42:11.025927,0:00:40.073504,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-5.csv,107029978,2024-03-14 23:41:29.941754,2024-03-14 23:42:12.320493,0:00:42.378739,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-7.csv,107029978,2024-03-14 23:41:31.966514,2024-03-14 23:42:12.471361,0:00:40.504847,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-8.csv,107029978,2024-03-14 23:41:32.982234,2024-03-14 23:42:16.429946,0:00:43.447712,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-11.csv,107029978,2024-03-14 23:41:36.128495,2024-03-14 23:42:17.685289,0:00:41.556794,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-9.csv,107029978,2024-03-14 23:41:33.997618,2024-03-14 23:42:18.188701,0:00:44.191083,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-10.csv,107029978,2024-03-14 23:41:35.018542,2024-03-14 23:42:19.321132,0:00:44.302590,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-12.csv,107029978,2024-03-14 23:41:37.148367,2024-03-14 23:42:31.927359,0:00:54.778992,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-13.csv,107029978,2024-03-14 23:41:38.183626,2024-03-14 23:42:37.476781,0:00:59.293155,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-15.csv,107029978,2024-03-14 23:41:40.279861,2024-03-14 23:42:38.846799,0:00:58.566938,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-14.csv,107029978,2024-03-14 23:41:39.209680,2024-03-14 23:42:38.871321,0:00:59.661641,True,20.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-16.csv,107029978,2024-03-14 23:41:41.367823,2024-03-14 23:42:42.193509,0:01:00.825686,True,20.0
